Am I qualified to participate in Cloud Hero?,CloudHero is a technical cloud-computing game. It is best suited for IT professionals developers engineers and programmers. Cloud Hero was designed specifically for cloud professionals responsible for developing deploying and maintaining large-scale applications and analytics in the Cloud. It is recommended that Cloud Heros-in-training have experience in the basics of deploying optimizing and refining Cloud applications.
Who can I contact if my question wasn't answered here?,Send us an email at cloudhero@launchcg.com
What are you doing to actively promote diversity & inclusion at Next?,We welcome attendees of all backgrounds and aim to create a truly inclusive environment reflective of different perspectives. At Google we know diversity and inclusion are values critical to our success and future innovation. We’re proud to offer dedicated events for underrepresented communities throughout the conference.
What if I can’t attend the conference in person?,You can be a part of Next ’18 by attending a Next Extended event near you or by tuning in to the livestream. To learn more visit our OnAir page for details on accessing the livestream joining an Extended event near you or hosting your own Next Extended experience.
How can I access the livestream?,Once the conference starts visit the Next OnAir page where you’ll be able to stream keynotes featured breakout sessions and interviews with Google experts.
How much do conference tickets cost?,$999 for “early bird” registration confirmed and paid for by June 1. $1499 for general admission purchased online between June 2 and July 23. $2000 for general admission purchased during the conference if available.
What does the ticket price include?,This price includes three full days of sessions product demos admission to after-hours reception(s) attendance at the keynotes and breakfast lunch and snacks each day. Tickets do not include flights hotels or transportation but we do have tools to help you plan your trip. Discounted hotel rates are available now and can be accessed after you go through the registration process. Additional travel tools will be added to the site in the next several months.
What methods of payment do you accept?,Debit and credit cards: American Express Discover JCB Mastercard and Visa.
Where can I find a list of discounted hotels?,The current list of available discounted hotels can be found here.
Are there any ticket restrictions?,Each individual may purchase only one ticket.Tickets are for the full three-day conference. No single-day tickets are available.Tickets must be used by the original registrant and are non-transferable. You may not register on behalf of anyone else.Tickets may not be sold bartered auctioned or transferred in any way. Doing so may result in Google rendering the ticket null and void without any responsibility to Google.Review the complete terms and conditions for Next ’18 here.
Can I cancel my ticket after I book?,For tickets purchased before June 29 2018 you may cancel your ticket and request a refund by contacting next18@google.com through June 29 2018. Any cancellation requests made after June 29 2018 will not be honored with a refund but the your registration profile can be deleted at your request. For tickets purchased after June 29 2018 all sales are final. There will be no refunds or exchanges regardless of weather conditions session availability or any other circumstance.
Will there be opportunity to get GCP credit?,Each Google Cloud Next '18 attendee with a general registration ticket will receive via email an individual code redeemable for GCP credit after Next ’18 concludes. All early bird and general admission ticket holders are eligible to receive $500 in GCP credit. The code will be valid whether or not you are an existing GCP user and can be combined with the $300 Free Trial credit for new customers. The GCP credit will be redeemable for 60 days after issuance and once redeemed can be used through the end of 2018. Note that this offer is not “stackable”; that is a single customer cannot use two codes for the same GCP account.
How do I get a press pass?,We will be offering a limited number of press passes to qualified members of the media. To submit a request please fill out this form. Filling out the form doesn’t guarantee you a press pass. Our team will contact you if we are able to accommodate your request. If you have additional questions please email Cloud-Comms@google.com
Is the content specifically tailored for C-level attendees?,Yes. Executive attendees will be able to hear from senior Google executives industry thought leaders and their peers on the latest trends in cloud computing and how technologies are disrupting the industry. We’ll publish the detailed agenda in the coming weeks.
Can I attend general Next ’18 sessions with my Leaders Circle badge?,Yes you have full access to Next ’18 as a Leaders Circle attendee.
Where can I pick up my badge?,Leaders Circle attendees have dedicated registration to pick up your badge at the InterContinental SF in the Living Room Lobby Level as well as the Regency Foyer on the Lobby Level.  You can also pick up your badge at Moscone South or West.
Don’t see your question answered here?,If you have questions regarding Leaders Circle at Next ’18 feel free to email LeadersCircle@google.com.
What is Partner Summit?,Partner Summit brings together our global community to build new connections discuss how to integrate best practices into your business strategies and spend time diving deep on the latest from Google Cloud.
Where is Partner Summit?,Partner Summit will be at Moscone South which is the same location as Next ’18. Partner Summit will kick off with a welcome reception from 6–8 PM on Sunday July 22.
How do I know if I qualify to attend?,You must be a Google Cloud Partner or a member of the Google Cloud ecosystem meaning that you are actively working towards that designation and have completed an NDA.
What’s on the agenda for Partner Summit?,You can explore the agenda and partner-targeted sessions here.
Will there be partner-led sessions? If yes how do I become a speaker? Will there be a “Call for Participation” for me to submit a proposal to speak?,Unfortunately our Call for Participation is now closed. We encourage you to submit a proposal to speak at next year’s event.
What does the registration fee include?,Partner Summit admission is $1499 for general registration and will include full access to Next ’18. This rate includes event admission and meals. The rate doesn’t include transportation or accommodation.
Can I attend general Next ’18 sessions with my Partner Summit pass?,Yes you have full access to Next ’18 as a Partner Summit attendee.
Where can I pick up my badge?,Please pick up your badge at the Welcome Reception at City View Sunday July 22 from 5:45–8 PM. If you can’t attend the welcome reception you can pick up your pass beginning at 7 AM on July 23 in the lobby of Moscone South. Please keep in mind that the Partner Summit keynote starts promptly at 9 AM on Monday July 23.
I’m a partner but I’m not registered for the Partner Summit. What do I do?,Any partner with a Next ’18 pass is able to attend Partner Summit as long as you registered for Partner Summit. Please reach out to next18@google.com to inquire about switching your registration to include Partner Summit. Upon confirmation of your partner status your registration will be changed to a Partner pass which may take up to three business days.
I am an industry analyst. How do I get involved?,If you are a member of the industry analyst community and have questions about the Analyst Summit at Next ’18 please reach out to analystrelationsna-external@google.com for more information.
How can I change the email address associated with my Next ’18 account?,Send us an email at next18@google.com and we can help update your email address.
How can I delete my Next ’18 account?,You guessed it: Reach out to next18@google.com.
Know any good cloud puns?,Every pun deserves it’s day in the sun so let’s not cloud the issue. Being under a cloud of suspicion sounds spooky and cool as does a cloud on the horizon but we’re more of a blue sky thinking kind of bunch.
Who can I contact if my question wasn’t answered here?,Please reach out to: next18@google.com for general inquiries next18sponsorship@google.com for sponsorship opportunities analystrelationsna-external@google.com for analyst inquiries cloud-comms@google.com for press inquiries
